phi,beta
-10.264550264550262, 0.44753086419753085
-8.677248677248675, 0.4462962962962963
-6.693121693121691, 0.4462962962962963
-4.708994708994709, 0.44753086419753085
-2.724867724867721, 0.4481481481481482
-0.3439153439153415, 0.4487654320987654
2.9629629629629655, 0.45123456790123456
5.343915343915345, 0.45493827160493827
8.650793650793652, 0.45987654320987653
11.42857142857143, 0.4648148148148148
14.603174603174608, 0.4703703703703703
17.248677248677254, 0.4759259259259259
19.629629629629633, 0.48209876543209873
22.67195767195767, 0.48703703703703705
24.259259259259267, 0.49320987654320986
27.037037037037038, 0.5012345679012346
29.550264550264558, 0.5092592592592593
33.25396825396825, 0.5222222222222223
36.56084656084657, 0.5339506172839505
38.677248677248684, 0.5444444444444444
