phi,height
-10.103006355849592, 69.51970443349754
-8.915021381130014, 69.39655172413794
-6.540351196433445, 69.39655172413794
-5.220765041527482, 69.33497536945814
-2.8457699156452687, 69.27339901477833
-0.6020510287637926, 69.08866995073892
-0.6020510287637926, 69.08866995073892
1.1139633726295521, 68.90394088669952
2.6987015350221633, 68.5960591133005
5.074671484461312, 68.34975369458128
7.451941198643045, 67.85714285714286
9.172504776635428, 66.8103448275862
11.287222012815686, 66.07142857142857
13.005186061322902, 65.51724137931035
14.593498576757607, 64.5320197044335
14.593498576757607, 64.5320197044335
15.651832018404672, 63.977832512315274
16.97369276161015, 63.485221674876854
18.826507402160214, 62.3768472906404
22.13408373084472, 60.59113300492611
25.044906871856202, 58.99014778325123
28.351833318169415, 57.327586206896555
31.26070681206701, 56.09605911330049
34.302806192079245, 54.618226600985224
36.81525143948946, 53.50985221674877
38.66839102122516, 52.33990147783251

